milestone	id	ledger_status	production_class	owning_production_task	current_evidence
M0	M0-01	Complete	production-available	T02-discovery-authority	v10 production discovery/runtime risk boundary; full race, real PostgreSQL, release gates, and independent 0/0/0 review at 48d9768
M0	M0-02	Complete	component-only	T11-identity-admin	audited component-only proof: Stytch test config
M0	M0-03	Complete	component-only	T11-identity-admin	audited component-only proof: Stytch JWT proof
M0	M0-04	Complete	production-available	T02-discovery-authority	actual registered API PostgreSQL session exercises legacy and v10 reads while direct v10 table and worker authority remain denied at 48d9768
M0	M0-05	Complete	production-available	T02-discovery-authority	immutable v10 fresh/v9 upgrade, restart, fingerprint drift, guarded down, and shipped migrator lifecycle at 48d9768
M0	M0-06	Complete	component-only	T04-discovery-worker	audited component-only proof: LocalStack SQS proof
M0	M0-07	Complete	component-only	T04-discovery-worker	audited component-only proof: LocalStack storage proof
M0	M0-08	Complete	component-only	T04-discovery-worker	audited component-only proof: OpenSearch proof
M0	M0-09	Blocked	blocked/external	EXT-live-aws	audited external evidence gate: real AWS IAM proof
M0	M0-10	Complete	component-only	T04-discovery-worker	audited component-only proof: Cartography proof
M0	M0-11	Complete	component-only	T03-launch-connectors	audited component-only proof: Prowler proof
M0	M0-12	Complete	production-available	T06-runtime-data-plane	production evidence: Tetragon proof; verified by Task 6 source/deploy review and focused race/release gates
M0	M0-13	Complete	production-available	T06-runtime-data-plane	production evidence: OTLP proof; verified by Task 6 source/deploy review and focused race/release gates
M0	M0-14a	Complete	component-only	T03-launch-connectors	audited component-only proof: Nango free boot proof
M0	M0-14b	Complete	component-only	T03-launch-connectors	audited component-only proof: Nango OAuth proof
M0	M0-14c	Complete	component-only	T03-launch-connectors	audited component-only proof: Nango API key proof
M0	M0-14	Complete	component-only	T03-launch-connectors	audited component-only proof: Nango free auth proof
M0	M0-15	Complete	component-only	T03-launch-connectors	audited component-only proof: Nango proxy proof
M0	M0-16	Complete	component-only	T12-red-team	audited component-only proof: Promptfoo proof
M0	M0-17	Complete	production-available	T06-runtime-data-plane	production evidence: OPA SDK proof; verified by Task 6 source/deploy review and focused race/release gates
M0	M0-18	Blocked	blocked/external	EXT-live-fargate	audited external evidence gate: Fargate verification proof
M0	M0-19	Blocked	blocked/external	EXT-live-fargate	audited external evidence gate: Fargate egress proof
M0	M0-20	Complete	component-only	T14-data-workflows	audited component-only proof: PostHog privacy proof
M0	M0-21	Complete	component-only	T14-data-workflows	audited component-only proof: OpenRouter privacy proof
M0	M0-21a	Complete	component-only	T07-security-agent-authority	audited component-only proof: Security Agent planner boundary proof
M0	M0-22	Complete	component-only	T14-data-workflows	audited component-only proof: OTLP export proof
M0	M0-23	Complete	production-available	T02-discovery-authority	Task 2 production gate: 44-package race, hostile PostgreSQL, migration/deploy contracts, clean patch, and independent 0/0/0 review at 48d9768
M1	M1-01d	Complete	production-available	PROD-current-composition	audited shipped composition: platform API command
M1	M1-01e	Complete	production-available	T04-discovery-worker	production evidence: platform worker command; verified by Task 4 source/deploy review and focused race/release gates
M1	M1-01f	Complete	component-only	T06-runtime-data-plane	audited component-only proof: event ingest command
M1	M1-01a	Complete	production-available	T06-runtime-data-plane	production runtime gateway command with signed disk cache, crash-durable bounded evidence queue, durable clock floor and evaluation replay receipts, exact authority replay, expired-event quarantine, customer-edge PVC, race/release gates
M1	M1-01b	Complete	component-only	T04-discovery-worker	audited component-only proof: worker directories
M1	M1-01c	Complete	component-only	T10-product-ui	audited component-only proof: web and CLI directories
M1	M1-01	Complete	production-available	T02-discovery-authority	shipped platform v10 discovery/runtime authority, strict repositories, exact principal composition, and recovery state machines at 48d9768
M1	M1-02	Complete	production-available	PROD-current-composition	audited shipped composition: dependency lock
M1	M1-03	Complete	production-available	PROD-current-composition	audited shipped composition: canonical IDs
M1	M1-04	Complete	production-available	PROD-current-composition	audited shipped composition: scope model
M1	M1-05	Complete	production-available	PROD-current-composition	audited shipped composition: evidence model
M1	M1-06	Complete	production-available	PROD-current-composition	audited shipped composition: product error envelope
M1	M1-07	Complete	production-available	PROD-current-composition	audited shipped composition: config loader
M1	M1-08	Complete	production-available	PROD-current-composition	audited shipped composition: external client policy
M1	M1-09	Complete	production-available	PROD-current-composition	audited shipped composition: idempotency helper
M1	M1-10	Complete	production-available	PROD-current-composition	audited shipped composition: Neon schema baseline
M1	M1-11	Complete	production-available	T02-discovery-authority	production PostgreSQL session-user authority, bounded claims/leases, UTC outputs, and actual-login compatibility proof at 48d9768
M1	M1-12	Complete	production-available	T04-discovery-worker	production evidence: S3 artifact interface; verified by Task 4 source/deploy review and focused race/release gates
M1	M1-13	Complete	production-available	T04-discovery-worker	production evidence: SQS queue interface; verified by Task 4 source/deploy review and focused race/release gates
M1	M1-14	Complete	production-available	T04-discovery-worker	production evidence: OpenSearch EventStore; verified by Task 4 source/deploy review and focused race/release gates
M1	M1-15	Complete	production-available	T04-discovery-worker	production evidence: GraphStore interface; verified by Task 4 source/deploy review and focused race/release gates
